"Pressure (Pa)","X (m)","Y (m)","Z (m)"
0.31435690684954437,0.058058673300233538,0,0.26642248534220014
0.3136297572133443,0.071501390022873437,0,0.27929113382633686
0.31270251257366111,0.085539434016218677,0,0.29146506309239129
0.31151020081553304,0.10015750466535921,0,0.30293412115043161
0.31005085388022291,0.11531933047897205,0,0.31366880561426802
0.30820309318387612,0.13099081104049742,0,0.32364299925340312
0.30608673102235756,0.14713347206810212,0,0.33283582270229484
0.30376097691932741,0.16373294869566127,0,0.34123667656742762
0.30094265183817392,0.18076906629008199,0,0.34882863812452658
0.29773457855002283,0.19814495261295267,0,0.35556510225954391
0.29397870492652589,0.21580222488872469,0,0.36142635478868834
0.28945852800663968,0.23371239794403897,0,0.3664096421289248
0.2835586271957552,0.25186289402676287,0,0.3705091697340287
0.2753407240062607,0.27008774369003108,0,0.37369778424101774
0.2635813411096547,0.28804878155152525,0,0.37595298223936957
0.24469158985320563,0.305548546984858,0,0.37731592416152337
0.085125986060965955,0.57951798398516974,0,0.37797000351335841
0.21287128334500266,0.32243760890948847,0,0.37787681147095931
0.086545187615142447,0.56346767643527285,-0,0.37797015001666406
0.17053952590544508,0.33874280186121419,0,0.37797019510666663
0.087939983127943822,0.54741781074327389,-0,0.3779700968619637
0.13997478091618293,0.35480916190620737,0,0.37797017901414615
0.089372237894283002,0.53136831873691825,-0,0.37796996633995938
0.1229319589470934,0.37086003064695161,0,0.37797005389191263
0.090742912506419332,0.51531593539713483,-0,0.37797003500011339
0.11280026033979931,0.38691131698470044,0,0.37796997092419515
0.092091763633177601,0.49926326732617432,-0,0.3779701368259355
0.10617728139227607,0.40296258100052246,0,0.37797010642968643
0.093566072687764346,0.48321585107524034,-0,0.37797016708918491
0.10187598647652171,0.41901257934515956,0,0.37797014099024023
0.095086386415039706,0.4671668082804929,-0,0.37797015132765643
0.09895130654355544,0.43506122039167044,0,0.37796999603661202
0.096750961207852162,0.45111204412022471,0,0.37797002146961034
0.0083519347732121611,0.19098471642877124,0,0.23836195092844437
0.0085836569912547071,0.2028775787335711,-0,0.24471805636590627
0.0084433615169453996,0.21502797667180623,-0,0.25046294866357821
0.0080853096241288534,0.22745590856607936,-0,0.25560779374155379
0.0077764194605142844,0.24014993093580114,-0,0.26014530011061532
0.0076083072319291355,0.25307217320927172,-0,0.26405939721629779
0.0083721021142953295,0.2661547413896489,-0,0.26732944774407091
0.010806497317863555,0.27948434674646616,-0,0.26996468019768904
0.01696214904154305,0.29332803378873229,-0,0.27198063283348561
0.027589614081050637,0.30780074716591843,-0,0.27332337008359031
0.051277599327368743,0.32297855394356367,-0,0.27392270679816971
0.072140123786329127,0.33877458736970345,-0,0.27402990063252713
0.086783746627376049,0.35480972277161787,-0,0.27402996880811092
0.095297245701918637,0.37085836111979303,-0,0.27402991505591945
0.10445615795111997,0.40296278086494386,0,0.27402993332484504
0.1005982555437186,0.38691104775155327,0,0.27402981347051492
0.18928220809480711,0.051970113497672901,0,-0.11730599984704793
0.18669679185900256,0.051970111504354599,-0,-0.10131599335384428
0.18320897533367644,0.051970095850283039,-0,-0.085372387856204185
0.17856382106882129,0.051970096454104109,-0,-0.069501274375577196
0.17165666917864844,0.051970101316499803,-0,-0.053758473761589709
0.16125700519920674,0.051970121861848309,-0,-0.03822806882653166
0.14433165551800595,0.051970093880381651,-0,-0.023054601791527372
0.11758784405107726,0.051970175247509895,-0,-0.0084254869623890307
0.071870675915358048,0.0521128172180002,-0,0.0056062796693286138
0.029753899923933649,0.052731701905315578,-0,0.019239236057997364
0.0077858786885096039,0.17939409652255434,0,0.23141484998107442
0.0076227463148248811,0.054014401504152522,-0,0.032707188704243294
0.0071492351991262965,0.16816050988660891,0,0.2239032782995613
-0.0040361893870722032,0.055959248684355097,-0,0.046085100770147408
0.0064348311480659434,0.15731137913095636,0,0.21584681963394473
-0.010471036568857102,0.058566653071766547,-0,0.059370472101921534
0.0057025560036297598,0.1468732306965107,0,0.20726642206326068
-0.013195101730846145,0.06180527528329248,-0,0.072440816647448975
0.0050102600102844711,0.13687515495742494,0,0.19818630944476678
-0.013969774709010698,0.065656845824117058,-0,0.085251616654550721
0.0040877640916401033,0.12735600342465736,0,0.1886448509827475
-0.012736567905250415,0.070151070711145652,-0,0.097914718985065652
0.0029719761040856059,0.11831760519823974,0,0.17864390245298811
-0.011072512544400061,0.075288311027549792,-0,0.11040569111290088
0.0013734175613675265,0.10979783124963607,0,0.16823462055396077
-0.0083406852143565382,0.081042731873486845,-0,0.12264281042567077
-0.00058370486654831498,0.10181765754202493,0,0.15744397338238719
-0.0057348332723455263,0.087393909670710701,-0,0.13458363173159971
-0.0030376896948741531,0.094335459610356956,0,0.14620853534282643
0.19753106564370768,-0.051970244400942445,0,-0.1814069658955923
0.19606422667711795,-0.051970113102223478,0,-0.16534984176042306
0.19468137631180865,-0.051970183487412426,0,-0.14928443376188799
0.19349956903969701,-0.051970268983070958,0,-0.13321046246217061
0.19256544084412466,-0.051970295732287564,0,-0.11712629248609426
0.19203202632274527,-0.051970251118083843,0,-0.10101394315244662
0.19228669991594585,-0.051970124125352193,0,-0.084852344642845065
0.19378084420734645,-0.051970201189179145,0,-0.068622259959382398
0.19739310326673162,-0.05197019315142902,0,-0.052267185519725978
0.2047657541580275,-0.051970178309400941,0,-0.035695740960112528
0.21757549679856061,-0.05197021072008573,0,-0.018763976189516422
0.24318098214136838,-0.051931630839655449,0,-0.0012875921406862588
0.26733028283909849,-0.051486119049951901,0,0.016763913284874817
