"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Z-momentum: Residual"
1.0,1.0,1.0,0.0,0.0
2.0,0.6286599748789464,0.4625683850471966,1.0,1.0
3.0,0.5585001598619129,0.3492035500114244,0.9594389107709643,0.4865481903723585
4.0,0.4673729617826566,0.278558470012598,0.9339307420452363,0.4295937082670266
5.0,0.3818021994631305,0.22951078462262328,0.9079941524853002,0.39100741607907935
6.0,0.31020348312224644,0.19352098454967434,0.889853142249772,0.33628501719574305
7.0,0.2564477300136568,0.1661737273469924,0.8739814699570905,0.28247064515139686
8.0,0.21158919829768258,0.14496091743773815,0.8552637708277173,0.23561356013101958
9.0,0.1794494955423154,0.128102845822067,0.8342021980974731,0.192747644887422
10.0,0.15228832954956814,0.11458408701260736,0.8125719805057859,0.15632309008740436
11.0,0.12923699804521746,0.10348006987703645,0.7952878423045777,0.12625589619105324
12.0,0.11103681478192032,0.09435148836388327,0.7805272684262227,0.10240073143098719
13.0,0.09623880749118345,0.08677816361927009,0.7655474871193546,0.08008510477567311
14.0,0.08633358488036516,0.08036818205472603,0.7539722585869431,0.06147232692795646
15.0,0.07795865019522663,0.07494079488683765,0.744860754532672,0.04748719484743768
16.0,0.07116224178324422,0.07027162085548026,0.7389029291696361,0.037372396798143484
17.0,0.06478584840779222,0.06623073417705153,0.7336091725658781,0.029943896900993847
18.0,0.05902311986847534,0.0627132261473311,0.7298019102631449,0.023013501143979008
19.0,0.05559866216013143,0.059589782368584976,0.7284445282245042,0.019792401657396787
20.0,0.05297258592767451,0.05681104551125651,0.7267243887285348,0.017445129116689405
21.0,0.05025944659252823,0.05430502985361372,0.7255427127991994,0.015241092356309731
22.0,0.04884900784881991,0.052086078877146294,0.7242971381721098,0.014505514754980867
23.0,0.047055058217260554,0.050090466564629295,0.7235250508264148,0.014431923600752421
24.0,0.0451023690830073,0.048280398325520175,0.7235584010610381,0.014341480181791296
25.0,0.04342571200805816,0.046634466022871475,0.7236652896380906,0.013972872933469592
26.0,0.04261794102525758,0.04514450604813538,0.7240576866180062,0.013755663172366305
27.0,0.04187115581584655,0.043795313914728705,0.7243083928743445,0.01329462233104827
28.0,0.04125563307905118,0.04255755036727052,0.7250265681216099,0.012808997061126575
29.0,0.04040732694998932,0.04142669742845284,0.725724508138208,0.012273834750863381
30.0,0.03989601040012793,0.04040872678737664,0.7259107439487495,0.011811276013813383
31.0,0.03828905752019618,0.039473900754497665,0.7261444765272315,0.011319769534098089
32.0,0.03752434041999125,0.038615499268578414,0.7262684642772583,0.010739951286929622
33.0,0.0373423553568866,0.037828553766055775,0.7267056801810957,0.010209464194701704
34.0,0.036421143545207445,0.03711540063031491,0.7266063947208835,0.009831746908473228
35.0,0.03608946119445312,0.03643436121324097,0.727668337756852,0.009327134229131739
36.0,0.035447499219046864,0.03585333783622728,0.7270297553379135,0.008930584084072612
37.0,0.034961641796366384,0.03530554850919801,0.7271785473960739,0.008485685124881622
38.0,0.0344193757758665,0.034778050472412954,0.7277905800618422,0.008085847182613373
