x, y
-0.930807248764415, 0.6032786885245902
-0.8978583196046128, 0.6557377049180327
-0.8451400329489291, 0.6819672131147541
-0.7990115321252058, 0.7147540983606557
-0.6935749588138385, 0.6918032786885245
-0.561779242174629, 0.6524590163934426
-0.31795716639209226, 0.6360655737704918
-0.08072487644151571, 0.8786885245901639
0.1565074135090614, 1.0918032786885246
0.4003294892915983, 1.1213114754098361
0.6177924217462933, 1.118032786885246
0.7232289950576611, 1.0819672131147542
0.7759472817133446, 1.042622950819672
0.9341021416803956, 0.9475409836065574
