"Line Probe: Velocity[i] (m/s)","Line Probe: Centroid[Y] (m)"
0.07676436102514633,0.6386138613861385
0.06642824990258425,0.6287128712871287
0.05617817901896286,0.6188118811881189
0.04600666036908447,0.608910891089109
0.035906986168102055,0.5990099009900991
0.025879500268830322,0.5891089108910892
0.01591387970354471,0.5792079207920793
0.006003351758147759,0.5693069306930694
-0.0038591009392564476,0.5594059405940595
-0.01367476285069867,0.5495049504950495
-0.02344266460947981,0.5396039603960396
-0.03316367689367042,0.5297029702970297
-0.042843161727185546,0.5198019801980198
-0.05248574254396591,0.5099009900990099
-0.06209225680218986,0.5
-0.07166308293467491,0.4900990099009901
-0.081198283931847,0.4801980198019802
-0.090697608885528,0.47029702970297027
-0.10016051475373217,0.46039603960396036
-0.10958633348118071,0.45049504950495045
-0.11897451360912684,0.44059405940594054
-0.12832504095430838,0.43069306930693063
-0.1376389880405827,0.4207920792079207
-0.14691928646230015,0.4108910891089108
-0.15617163283289962,0.4009900990099009
-0.16540559360467655,0.391089108910891
-0.17463556843294328,0.3811881188118812
-0.18388227623975212,0.3712871287128714
-0.1931737316084057,0.3613861386138615
-0.20254630831107207,0.3514851485148516
-0.212044977791221,0.34158415841584167
-0.22172237782483253,0.33168316831683176
-0.2316372777628477,0.32178217821782185
-0.2418504072712783,0.31188118811881194
-0.2524187975255064,0.301980198019802
-0.2633874243747463,0.2920792079207921
-0.2747784012841247,0.2821782178217822
-0.28657806820481274,0.2722772277227723
-0.2987223068703621,0.2623762376237624
-0.31108124892334854,0.2524752475247525
-0.323443526875877,0.24257425742574257
-0.33550743077076706,0.23267326732673266
-0.3468847965690558,0.22277227722772275
-0.357114594361277,0.21287128712871284
-0.36568645289322255,0.20297029702970293
-0.37207620794426916,0.19306930693069302
-0.37582449883652175,0.1831683168316831
-0.37657851615651733,0.1732673267326732
-0.3741709864446808,0.1633663366336633
-0.3684054615953579,0.15346534653465338
-0.35909753004516837,0.14356435643564347
-0.34635176889575936,0.13366336633663356
-0.3304558351323753,0.12376237623762376
-0.3118302481469124,0.11386138613861396
-0.2909886644091619,0.10396039603960405
-0.2684836158300134,0.09405940594059414
-0.24483568654122242,0.08415841584158423
-0.22045133153161436,0.07425742574257432
-0.19554214226417838,0.06435643564356441
-0.1700702612298575,0.054455445544554504
-0.14373445556518374,0.044554455445544594
-0.11603937277482602,0.034653465346534684
-0.08641080148093336,0.024752475247524774
-0.0542793828556373,0.014851485148514865
-0.01920776890342082,0.004950495049504955
0.9235217780023339,0.9950495049504952
0.7690529105229272,0.9851485148514854
0.6372467662255228,0.9752475247524754
0.5388411982095013,0.9653465346534655
0.47276876738233187,0.9554455445544556
0.4318531284847465,0.9455445544554457
0.4076927216304238,0.9356435643564358
0.39325453467363447,0.9257425742574259
0.3836462203110322,0.915841584158416
0.37587201494910094,0.9059405940594061
0.3683820180887067,0.8960396039603962
0.36040685391338745,0.8861386138613863
0.3516556042819942,0.8762376237623763
0.342080004400366,0.8663366336633664
0.3317455339575254,0.8564356435643565
0.32076315291329727,0.8465346534653466
0.3092567241212397,0.8366336633663367
0.2973487673230402,0.8267326732673268
0.28515425408979317,0.8168316831683169
0.2727774891522636,0.806930693069307
0.2603088740196255,0.7970297029702971
0.24782675826744924,0.7871287128712872
0.2353932466696983,0.7772277227722773
0.22305546879275515,0.7673267326732673
0.21084794267948068,0.7574257425742574
0.1987941552103193,0.7475247524752475
0.18690825462909588,0.7376237623762376
0.1751967664678166,0.7277227722772277
0.16366021665718794,0.7178217821782178
0.1522946536704603,0.7079207920792079
0.14109294412431517,0.698019801980198
0.13004590801473898,0.6881188118811881
0.11914321802263687,0.6782178217821782
0.10837411543555613,0.6683168316831682
0.09772796017884193,0.6584158415841583
0.0871945894119841,0.6485148514851484
