"Time","Volume Integral 1 Monitor: Volume Integral 1 Monitor (m^3)"
0.01,4.1282759840948146E-8
0.04,4.1994629907473543E-7
0.07,8.125616039130635E-7
0.09999999999999999,1.1227596581425494E-6
0.12999999999999998,1.37027273179098E-6
0.16,1.5771284116916654E-6
0.19000000000000003,1.756967691826285E-6
0.22000000000000006,1.9182645796268788E-6
0.25000000000000006,2.065403141984741E-6
0.2800000000000001,2.201313943742494E-6
0.3200000000000001,2.368707430714895E-6
0.35000000000000014,2.4858488926223764E-6
0.38000000000000017,2.5969987067245846E-6
0.4100000000000002,2.7029513644722543E-6
0.4400000000000002,2.8043795897587147E-6
0.47000000000000025,2.9017983085901237E-6
0.5000000000000002,2.995637140413641E-6
0.5300000000000002,3.086277165044137E-6
0.5600000000000003,3.1740350568841505E-6
0.6000000000000003,3.2869940995279263E-6
0.6300000000000003,3.368948834518883E-6
0.6600000000000004,3.448754932136752E-6
0.6900000000000004,3.526568983694777E-6
0.7200000000000004,3.6025450280765964E-6
0.7500000000000004,3.6768158068652772E-6
0.7800000000000005,3.749491446918238E-6
0.8100000000000005,3.820672273258133E-6
0.8400000000000005,3.890464480229681E-6
0.8700000000000006,3.958945172122693E-6
0.9100000000000006,4.048335954061542E-6
0.9400000000000006,4.114037078186121E-6
0.9700000000000006,4.178648061890638E-6
1.0000000000000007,4.242232506152262E-6
1.0300000000000007,4.304849014010178E-6
1.0600000000000007,4.366536824658965E-6
1.0900000000000007,4.427348044762165E-6
1.1200000000000008,4.487329902053146E-6
1.1500000000000008,4.546514939749449E-6
1.1900000000000008,4.624251391703171E-6
1.2200000000000009,4.6817157470690705E-6
1.2500000000000009,4.738490414427168E-6
1.280000000000001,4.794611847216677E-6
1.310000000000001,4.850101986767827E-6
1.340000000000001,4.904992117083361E-6
1.370000000000001,4.959310566666872E-6
1.400000000000001,5.01306768661699E-6
1.430000000000001,5.066293174040988E-6
1.470000000000001,5.1364794478300715E-6
1.500000000000001,5.188550039443126E-6
1.5300000000000011,5.240159944650939E-6
1.5600000000000012,5.2913251292853794E-6
1.5900000000000012,5.342056790041044E-6
1.6200000000000012,5.392379420486997E-6
1.6500000000000012,5.442308191512256E-6
1.6800000000000013,5.491856175530892E-6
1.7100000000000013,5.541038203740625E-6
1.7400000000000013,5.589869772791882E-6
1.7800000000000014,5.654455263205946E-6
1.8100000000000014,5.702515914299394E-6
1.8400000000000014,5.750267588089521E-6
1.8700000000000014,5.797719077720753E-6
1.9000000000000015,5.84488636102442E-6
1.9300000000000015,5.891776079201961E-6
1.9600000000000015,5.9383945472845484E-6
1.9900000000000015,5.984755052915805E-6
2.020000000000001,6.030867797870589E-6
2.06,6.0919744568560614E-6
2.0899999999999994,6.137533240762819E-6
2.1199999999999988,6.1828678695535334E-6
2.149999999999998,6.2279834633390065E-6
2.1799999999999975,6.27288670252792E-6
2.209999999999997,6.317584655339037E-6
2.239999999999996,6.362081769546384E-6
2.2699999999999956,6.406383709171818E-6
2.299999999999995,6.450495325110708E-6
2.339999999999994,6.509024993544421E-6
2.3699999999999934,6.55271079187346E-6
2.399999999999993,6.596222907386516E-6
2.429999999999992,6.639563357038317E-6
2.4599999999999915,6.6827359459417344E-6
2.489999999999991,6.725745213918339E-6
2.5199999999999902,6.768595168529761E-6
2.5499999999999896,6.811285800076333E-6
2.579999999999989,6.853824448708164E-6
2.6099999999999883,6.896212600830239E-6
2.6499999999999875,6.952500157353297E-6
2.679999999999987,6.994543395089036E-6
2.709999999999986,7.036446651303003E-6
2.7399999999999856,7.078211370804654E-6
2.769999999999985,7.119839167212938E-6
2.7999999999999843,7.161329649955001E-6
2.8299999999999836,7.202687682111234E-6
2.859999999999983,7.243915730659326E-6
2.8899999999999824,7.285013429468247E-6
2.9299999999999815,7.339616079793728E-6
2.959999999999981,7.38042210483774E-6
2.9899999999999802,7.42110516151454E-6
3.0199999999999796,7.461667734304069E-6
3.049999999999979,7.5021127491339245E-6
3.0799999999999783,7.542438578262225E-6
3.1099999999999777,7.582648905609274E-6
3.139999999999977,7.6227466512236775E-6
3.1699999999999764,7.662730750168605E-6
3.2099999999999755,7.715872185780277E-6
3.239999999999975,7.755600014604155E-6
3.2699999999999743,7.795221588857077E-6
3.2999999999999736,7.834737611319203E-6
3.329999999999973,7.874149218319561E-6
3.3599999999999723,7.913458746522862E-6
3.3899999999999717,7.952667342893688E-6
3.419999999999971,7.991776193585348E-6
3.4499999999999704,8.030785620269505E-6
3.47999999999997,8.069696919269924E-6
3.519999999999969,8.12143219418085E-6
3.5499999999999683,8.16012426764565E-6
3.5799999999999677,8.19872230032698E-6
3.609999999999967,8.237226968759358E-6
3.6399999999999664,8.27564293108705E-6
3.6699999999999657,8.31396959927476E-6
3.699999999999965,8.352207565346501E-6
3.7299999999999645,8.390358624989152E-6
3.759999999999964,8.428424306061398E-6
3.799999999999963,8.479045597555487E-6
3.8299999999999623,8.516915285920178E-6
3.8599999999999617,8.554702542674887E-6
3.889999999999961,8.592409581018141E-6
3.9199999999999604,8.630037555405727E-6
3.9499999999999598,8.667585933000719E-6
3.979999999999959,8.705055585621222E-6
4.009999999999959,8.742450025246726E-6
4.039999999999958,8.779769182090576E-6
4.079999999999957,8.829411969034659E-6
4.109999999999957,8.86655684119795E-6
4.139999999999956,8.903628814443189E-6
4.1699999999999555,8.940630468126608E-6
4.199999999999955,8.977561818334306E-6
4.229999999999954,9.014423024453485E-6
4.259999999999954,9.051214349514841E-6
4.289999999999953,9.087938512046364E-6
4.319999999999952,9.124595743911435E-6
