"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Z-momentum: Residual"
1.0,1.0,1.0,0.0,0.0
2.0,0.620420586500809,0.4719206813851162,0.9842321249035159,1.0
3.0,0.5665741820379154,0.3405263799338985,1.0,0.4662001519678746
4.0,0.47946295871270556,0.26362622325488727,0.9807965655648655,0.3823276941065355
5.0,0.3882335986314706,0.21118869179357358,0.9330588974744669,0.34298349676324397
6.0,0.3139748614931979,0.17276706206209244,0.8976151894202583,0.2885436174420733
7.0,0.25422758873730134,0.14359417256284124,0.8676059034393413,0.2380182486683841
8.0,0.21006868121712546,0.12093217025869807,0.836307614788793,0.1935462869375621
9.0,0.17542026466517074,0.10306661152852434,0.8057629975492804,0.1572033283767916
10.0,0.14749409306059413,0.08885598221864814,0.7774400448500075,0.12759016817296054
11.0,0.1262867483490736,0.07741024396401447,0.75022364637545,0.10186085100785117
12.0,0.1077314582673124,0.0682473022540109,0.7262834405286777,0.08196550442630438
13.0,0.09273092938004567,0.060766383916294624,0.705654289952502,0.06517743110472012
14.0,0.08168358828431811,0.05463014599025993,0.6857647321676271,0.0504385777354824
15.0,0.07259605201255734,0.04955760209801302,0.6649457984409748,0.03873703183035128
16.0,0.06559714387208236,0.04541260970025697,0.6450118786137404,0.029495447625919637
17.0,0.060850383575299864,0.04197309328951102,0.6258986370998777,0.022589960074157596
18.0,0.05609439664226317,0.03916452062808862,0.6068132569467222,0.01771608556156424
19.0,0.05262323256665695,0.0368375551303151,0.5883793570901177,0.014064663162688527
20.0,0.04906818248073317,0.03486142227507229,0.5699077778796208,0.010842252728799892
21.0,0.04516567323582188,0.03322869287498311,0.5514546366460391,0.008701767040112381
22.0,0.04218639870639613,0.03193906947857644,0.534391015706045,0.007297387148465895
23.0,0.040542956762208406,0.03095453082210232,0.5184542718056556,0.00630146454310358
24.0,0.039518244609751445,0.0302223521173852,0.5031204316582902,0.005377982893268427
25.0,0.039542475060531,0.0296766500678731,0.48870277598671497,0.004617036017847214
26.0,0.038130953484823156,0.029303007832438922,0.4747718729767184,0.0039060238312848454
27.0,0.03699100220891472,0.028986825955168855,0.46210813427844594,0.003407704663473182
28.0,0.036419753916524786,0.02876568896658604,0.4499151735255838,0.0027671400447013233
29.0,0.03566970096529422,0.02856296874799163,0.4386634934580064,0.0021170103278093104
30.0,0.03458471712046579,0.028369617938088513,0.42797102561203576,0.0016058010913863985
31.0,0.03399476522481407,0.028183403225840516,0.41766894101812946,0.0012116617268847641
32.0,0.03308777963253512,0.027975621272763585,0.40804047716586966,8.826278393606833E-4
33.0,0.03200041129265225,0.02776011969053381,0.3991600838276434,5.967473274474824E-4
34.0,0.03103813674723664,0.027536667032561128,0.3906825054293836,4.309504720969299E-4
35.0,0.03029048449354552,0.027296460174039378,0.3823026961154871,3.673381828126721E-4
36.0,0.029397096590887885,0.02705317237222809,0.374354988340983,3.622337599201746E-4
37.0,0.028614403602703307,0.026794526788904306,0.36676359018199123,3.898575813109236E-4
38.0,0.027656961888863785,0.026528873792221762,0.3593979237789597,4.220871929504773E-4
39.0,0.026905838056887715,0.0262631255468905,0.35235651010242197,4.503025634040213E-4
40.0,0.026565967209910515,0.025972211548869552,0.345905956593407,4.4203572893045426E-4
41.0,0.02557601365503418,0.025705135317946406,0.3389899001937222,4.562958777381313E-4
42.0,0.02485118379982311,0.025428544581101286,0.3325286808352647,4.7102714275545356E-4
43.0,0.023808796542492197,0.02516177694039413,0.3261008778438237,5.181464646219798E-4
44.0,0.023720844969425777,0.024862236705592247,0.32070651046519133,4.163627441953587E-4
45.0,0.022418175375144227,0.024583324007719592,0.31479556183571467,4.703853984778916E-4
46.0,0.02218000311227024,0.02428994669734229,0.3094477542176689,3.846709593359082E-4
47.0,0.021079243553252237,0.024013106770550956,0.30370209896138267,4.278435515162478E-4
48.0,0.0204867509590983,0.023725504489375163,0.29859643577871603,3.7393351788443446E-4
49.0,0.01994117459777308,0.02343124654107089,0.29359174330687965,3.5765693635590864E-4
50.0,0.019664369638693276,0.023127755700415545,0.2888912135465375,3.11492187010774E-4
51.0,0.018601455492202483,0.022841573345713816,0.28371259283244393,3.4034465335794513E-4
52.0,0.018330925309104226,0.02254594214934557,0.2792021393220421,2.78382847325129E-4
53.0,0.01778469874625407,0.022258980216762203,0.27445303426706996,2.794261049744141E-4
54.0,0.017282341696912104,0.021971352424148608,0.2699187449717951,2.656082179571293E-4
55.0,0.016707119040806007,0.021684294078814677,0.26553855821094446,2.50492260522353E-4
56.0,0.015917758937735362,0.021402978518022062,0.2610249811541613,2.5749098244119754E-4
57.0,0.01563721596103961,0.02111398903011828,0.2570040611711831,2.1528352047678014E-4
58.0,0.015137794076474496,0.020829745069176325,0.2528006573077648,2.1320920681507555E-4
59.0,0.01472171509316968,0.02054816842456577,0.2487302521348925,2.074139593872466E-4
60.0,0.01433639521781375,0.02026678122987122,0.24481678912277927,2.0322090852324895E-4
61.0,0.013973913296108472,0.019985465294273405,0.24097857171500275,1.9675431519835965E-4
62.0,0.013580440311561899,0.01970953957837982,0.23710101582246945,1.9191562760549377E-4
63.0,0.013092663188713185,0.019435313821086042,0.23332179229548652,1.866221673104253E-4
64.0,0.012477324580733987,0.019161552266395675,0.2296354719625929,1.9220433430862564E-4
65.0,0.012368043690948025,0.018889480509535407,0.22618506732641586,1.7935733181517305E-4
66.0,0.01203581691542814,0.01861578808266748,0.2227112350136693,1.8761437998917252E-4
67.0,0.0115763349405324,0.01834489111511952,0.21924672144343665,1.904621464441148E-4
