"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Z-momentum: Residual","Energy: Residual","Tdr: Residual","Tke: Residual"
1.0,0.029920854348653086,1.3235623244764563E-5,3.2629180598957225E-5,4.7319093977963846E-4,0.0,0.0032889286255315306,0.00410738381336746
2.0,0.03986343519147661,0.5118833403985793,0.9999999999999999,1.0,0.0,0.012618899567096569,1.0
3.0,1.0,0.12049174045754149,0.2340780632050879,0.09210884669402698,0.0,1.0,0.011788891207189917
4.0,0.5834492974903248,0.8283414352048876,0.5854843593432969,0.13175936695684962,0.0,0.7556959738643615,0.03943099723146586
5.0,0.4479292700553319,1.0,0.7117502365284075,0.14915955305159698,0.0,0.6019389199685246,0.15527922650336642
6.0,0.27854815837259733,0.5258992288410264,0.5077128623176953,0.09720360989391318,0.0,0.4792252464524594,0.008833674046791334
7.0,0.2719749559368299,0.290190583905686,0.37596756120696423,0.07386683485627438,0.0,0.4075095739900136,0.0072462069861261745
8.0,0.2765952585622209,0.20629518794783888,0.2938717953197259,0.06704025990220987,0.0,0.3630579462011713,0.00637194794430729
9.0,0.2219617167449267,0.15805448237279732,0.22235162722904722,0.059702417165470055,0.0,0.34456667503110694,0.006289778508377877
10.0,0.16627732831027142,0.13605906961205808,0.18026743508416687,0.05466290627296195,0.0,0.3471630700916915,0.006092538827440393
11.0,0.12656881323835317,0.1188507067536608,0.15639271936721177,0.05214139894816554,0.0,0.3741227483626858,0.006290452732719049
12.0,0.09371683623134962,0.10983420327344574,0.1330330520966622,0.04885838539666418,0.0,0.4088744682226752,0.006655504578435074
13.0,0.07378861261919005,0.10138353429296655,0.11562133558854075,0.04665022503477021,0.0,0.4203916945658518,0.006964420035934194
14.0,0.06095161343162713,0.09530025965390641,0.10644667971918717,0.046418553024423,0.0,0.49278310650506196,0.007536806577360578
15.0,0.05095526177019858,0.08764641011334297,0.1036935402541163,0.048239968618759704,0.0,0.7135083129276507,0.009044451775831807
16.0,0.044192390508192306,0.08333354336151749,0.10176715619162797,0.05121813895037872,0.0,0.86815420981877,0.00964252343636036
17.0,0.039530149485714754,0.08089998481078854,0.10026423854075955,0.05141780950131676,0.0,1.2299738797917237,0.010847687148547728
18.0,0.03731578560478245,0.07325310403862126,0.08588577934192171,0.04877677536738882,0.0,1.7310658815824291,0.012479569734165743
19.0,0.03506345525548939,0.06429154452506959,0.07967262412164526,0.04606130913099213,0.0,1.6711049280865096,0.012830469991625498
20.0,0.03297522301495648,0.058468740347643176,0.07385100931960137,0.03887779299728742,0.0,1.2834167140586994,0.010199576288837458
21.0,0.030645450867047425,0.05057655321694851,0.06144162077615625,0.03476440219066,0.0,1.5884269951297665,0.008782960598655723
22.0,0.029578349242376362,0.04240075387299808,0.05233226867096482,0.02932948644778098,0.0,1.4973524002726464,0.012583696023047713
23.0,0.02802558238918579,0.034761165314628924,0.045813417266512606,0.024398022797955658,0.0,1.322191739074086,0.008211923698406929
24.0,0.024158342229719666,0.028347743685412593,0.04065473776581681,0.02482508441736406,0.0,1.1218511033099146,0.006616496116000748
25.0,0.023873061133610315,0.022425103996473926,0.03679631123089844,0.023895172249099764,0.0,0.9105038431053811,0.005681724724154225
26.0,0.02175395243995378,0.018619298863084038,0.03368554866240676,0.024464380143399887,0.0,0.7213224909513026,0.004691981948743393
27.0,0.0189429274566404,0.017048546478233752,0.030213362128666738,0.024835150149735353,0.0,0.574626443407563,0.003971681909367391
28.0,0.016506889006680032,0.016490458685516404,0.027731176529173077,0.02479122248819101,0.0,0.45793516100841336,0.003265247645169264
29.0,0.014338664782666294,0.01600811966172315,0.026004456986939047,0.024169679453272554,0.0,0.3570390619208006,0.0029806404040446507
30.0,0.012932693488583195,0.015484175972830212,0.02438047124254862,0.022191653074344536,0.0,0.28829864831611923,0.002907791391845654
31.0,0.011941686455518609,0.014897952859210094,0.023524036681773837,0.020759123959486113,0.0,0.22913304377852065,0.0022668604678084594
32.0,0.011366469223118321,0.013980495225692904,0.022500065766074044,0.01875788066523673,0.0,0.18441561650252966,0.002034706567517278
33.0,0.010890886124717872,0.012809868251181385,0.021384274570938614,0.01736082552253073,0.0,0.15653616942094176,0.0018543804880643995
34.0,0.010404623093828086,0.011624054575287077,0.02013172822476758,0.01652382508978512,0.0,0.1303294266757833,0.0016624444086530332
35.0,0.009780077482857657,0.010449506655154341,0.0188550484587366,0.01601041568797022,0.0,0.10753612789544645,0.0014639935351185
36.0,0.009057529372355587,0.009513823584902745,0.01779130731860215,0.01569701392093939,0.0,0.08923474333969023,0.001277524959146141
37.0,0.008266460919515564,0.008891412827861113,0.01681545451446199,0.01549960983758882,0.0,0.07336044187661461,0.0011161302371222378
38.0,0.00771746868280893,0.008337462390978982,0.015873604471882925,0.015291778082665861,0.0,0.05903894484731059,0.0010410057376353172
39.0,0.006964723375354605,0.008143259371826592,0.015291429009977202,0.01497736949828567,0.0,0.047831998989297436,0.001034660357867372
40.0,0.006536374357085477,0.007757999797925966,0.014575199816778071,0.014385659427997303,0.0,0.04033940589939772,0.0011358102991317228
41.0,0.0062248849217034306,0.007307424171943419,0.01384245952567627,0.013532881141060408,0.0,0.035112345933177254,0.0011956902480782753
42.0,0.005983175829495604,0.0068570369560153,0.013042413918973495,0.012524733572925842,0.0,0.03091065655345462,0.0012204485916701936
43.0,0.005777422907722767,0.0064433481634398136,0.0122526323576842,0.01153371459591192,0.0,0.027336213411122627,0.0011705211695038843
44.0,0.005643146210914255,0.006076302123605522,0.011533682245887215,0.010697825842605525,0.0,0.023457450625724133,0.001048696250406149
45.0,0.005485489540219563,0.005765681431840314,0.010906434065050987,0.010101833494409539,0.0,0.019680742215825206,9.30270861971104E-4
46.0,0.0052887495453172685,0.005564139854721996,0.010373783121612098,0.009649096507028731,0.0,0.016645877674618448,8.668658466592238E-4
47.0,0.0050881409028021235,0.0053779093233176185,0.009888448082103875,0.009335955261588267,0.0,0.014539666448429552,8.577246146429994E-4
48.0,0.004882584140574739,0.005160098316203397,0.009389414790996762,0.00908477003534973,0.0,0.013130738730284213,8.51833498713503E-4
49.0,0.004728067238357508,0.004889081965110574,0.008865066869554362,0.008815956051603534,0.0,0.012020360500785006,8.165546300818796E-4
50.0,0.004527911828893632,0.004684782683978362,0.00840559479221385,0.008528054579881551,0.0,0.010779785121780714,7.63489853138641E-4
51.0,0.004360310332128339,0.004448262739459102,0.007969747401584848,0.008177526332840565,0.0,0.009551685297908096,7.129302518474852E-4
52.0,0.004087858313603825,0.004221764704473853,0.007571983961448532,0.0077916133868771815,0.0,0.008240258097780609,6.683140421118847E-4
53.0,0.003935203257229435,0.003941746187973998,0.007120857601734821,0.007337556924876158,0.0,0.00714246545733439,6.231483355373571E-4
54.0,0.003716024687354595,0.003715172802593902,0.0067794829578377005,0.006992187086303587,0.0,0.006288282491653806,5.768931900077596E-4
55.0,0.0036289072683522465,0.0034798751716830206,0.006451605064920327,0.006607063174447155,0.0,0.005546636265415342,5.244163648472716E-4
56.0,0.003501664354758225,0.00331716710840145,0.006229660412486095,0.006411040130734552,0.0,0.004931477796794975,4.8027894877939007E-4
57.0,0.0034092744812432084,0.0031659052788027904,0.0060133849708789155,0.006222018471887801,0.0,0.004352373711568068,4.342180690349203E-4
58.0,0.003299307758143303,0.0030662363026620885,0.0058979485547207035,0.006184423610275646,0.0,0.0038047099272801163,3.9221432704607354E-4
59.0,0.0032184219630242406,0.0029442245336197066,0.0057596831631186295,0.006133596175522481,0.0,0.0032942558304699626,3.5985799018384626E-4
60.0,0.0030837166624555793,0.002848816001012146,0.005663769408673936,0.006104789259936745,0.0,0.0028260406074508597,3.346403492379426E-4
61.0,0.0029792035408277547,0.0027679884818453127,0.005592079538899444,0.006080452813193563,0.0,0.0024048717088364065,3.150269244968011E-4
62.0,0.002894666386808409,0.0026997235169231104,0.005537279407742156,0.006039458524460995,0.0,0.0020409407030139936,2.976700553668927E-4
63.0,0.002752059353817795,0.0026718190781106596,0.005512684224278886,0.005966794347409941,0.0,0.0017207006471051177,2.8186917785953127E-4
64.0,0.002708107155969553,0.002601905723645283,0.005434278203961842,0.005826981744626503,0.0,0.0014461940185820949,2.656432324444625E-4
65.0,0.002568236533425751,0.0025921544964440375,0.005384102250117837,0.005710171272579695,0.0,0.0012139858173599936,2.5544595977748094E-4
66.0,0.0024874943882934723,0.0025722675005176976,0.005308793910159082,0.005557368625492215,0.0,0.0010249923700747015,2.5362364289063387E-4
67.0,0.0024437851977282357,0.002556610268960708,0.005218130580186759,0.0054037959811802086,0.0,8.766239834835201E-4,2.582378350648185E-4
68.0,0.0024192533853633264,0.0025522321437834055,0.0051202108061532345,0.005240510467717551,0.0,7.62535048699102E-4,2.659437625101931E-4
69.0,0.002387751167020733,0.002543418763806993,0.005018352352798844,0.005077803443859425,0.0,6.743733842246243E-4,2.767500917689736E-4
70.0,0.00232640485110779,0.002530952828977197,0.004923552151157424,0.004916514106587915,0.0,6.092438803936981E-4,2.9040232951609214E-4
71.0,0.0022481807005793647,0.0025128864746834885,0.004828050668023364,0.00475647559411075,0.0,5.660459412554819E-4,3.068778904595716E-4
72.0,0.00221446504460494,0.0024632768671120435,0.004730380834726393,0.004591563936964767,0.0,5.389773734797167E-4,3.2517160125176644E-4
73.0,0.0021093970952209863,0.002430120900763815,0.004652906328605629,0.004444130783461201,0.0,5.259046306650523E-4,3.414695709425415E-4
74.0,0.0020976303624736454,0.002353961753150802,0.004547629004665292,0.004297461325564514,0.0,5.079495823736939E-4,3.464106412071474E-4
75.0,0.002017014604873606,0.0023061756227421393,0.004430280066430711,0.004157959020856035,0.0,4.934512833588532E-4,3.449239094859759E-4
76.0,0.002006593447335096,0.0022277957230493056,0.00428156851012815,0.004025726173075146,0.0,4.790115357739011E-4,3.3822096563470227E-4
77.0,0.0019024253777394605,0.0021938931793498368,0.004136355622807161,0.0039229391415867045,0.0,4.6706649315509877E-4,3.2821157353028833E-4
78.0,0.0018825857354152899,0.0021383470807562976,0.0039705699937323076,0.003825098460460953,0.0,4.480860816220975E-4,3.155647488614652E-4
79.0,0.0018472531506976812,0.0021262196198391296,0.0038152815085373756,0.003760703973659996,0.0,4.3307388751049627E-4,3.0767000950480256E-4
80.0,0.0019243983987308466,0.0020881583808653485,0.0036425768670989758,0.0036900563291252697,0.0,4.174398938107078E-4,2.9968740765493344E-4
81.0,0.0019475737906607465,0.0020890252164972247,0.003507179175407967,0.0036485622328354186,0.0,4.0220376362268896E-4,2.9139280541142003E-4
82.0,0.0019832202622374795,0.0020713682953022497,0.0033771829486673364,0.0036020952733348192,0.0,3.8832995698060276E-4,2.826182230165254E-4
83.0,0.0019838149647981446,0.0020514830434777893,0.003260621369715661,0.0035625012539084876,0.0,3.771199569024352E-4,2.750582859595832E-4
84.0,0.0019618213717486066,0.002029248612540251,0.003165034463410228,0.0035261693378348174,0.0,3.6680530618689593E-4,2.6771587681437026E-4
85.0,0.001922367523953835,0.0020049375764646443,0.003077998192621601,0.0034851720855878297,0.0,3.5748175238568104E-4,2.598373516401074E-4
86.0,0.001877200099706295,0.0019699535559475623,0.0030017814202939626,0.003443515636049059,0.0,3.4956682776364105E-4,2.521369813812378E-4
