"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Z-momentum: Residual"
1.0,1.0,1.0,0.0,0.0
12.0,0.0901863071936674,0.05268153659212177,0.38773250315468527,0.09096607630616053
24.0,0.02991547136619349,0.02829064835192568,0.28064333189019974,0.0072166225909631255
35.0,0.019728503053006736,0.02090799647268495,0.2591942532848367,0.002660286105968788
47.0,0.01564576432137887,0.01686080091207384,0.24993443729679138,0.0013644667377044522
58.0,0.011351531350273995,0.014703649329550095,0.24548450589086668,8.82412257052657E-4
70.0,0.009135312396954738,0.013222067297949145,0.24213949330764006,5.853214585801459E-4
81.0,0.007448673963169607,0.012328171070009379,0.23946955021289468,4.2825033481030776E-4
93.0,0.006907490535357146,0.0116610571783538,0.23656359259012594,3.165361219340041E-4
104.0,0.006221065827546825,0.011233055097567085,0.23344590458745137,2.4243230630267447E-4
116.0,0.005421332191454307,0.010889027341728405,0.22968110989136062,1.896424948723895E-4
127.0,0.005055648634181496,0.010649228249365199,0.2257825222752354,1.536537045176336E-4
139.0,0.004587718830175192,0.010442539183006326,0.2209451018562606,1.2268173422481037E-4
150.0,0.0043317191271616375,0.010286910203372085,0.21603425569707316,1.0358897529650404E-4
162.0,0.003887199950196118,0.010137474344195166,0.21039350470852833,8.393858618109537E-5
174.0,0.003505244791036293,0.01000305098583427,0.20459425695191705,6.870477895450253E-5
185.0,0.0032559628151803584,0.00988593897541447,0.19935057702685396,5.435859765389484E-5
197.0,0.003017332395482724,0.009761034062650567,0.19388875462831717,4.3508203172434874E-5
208.0,0.002808469968767927,0.009647250552872647,0.18915044029217104,3.530540486961342E-5
220.0,0.002720554775450324,0.00951995027924988,0.1844214243188047,2.87701238224778E-5
231.0,0.0024931779059085037,0.009398441335933783,0.18044603549150764,2.485648514153554E-5
243.0,0.0023506364729343637,0.009263090709322725,0.17633274755127437,2.2227748682057006E-5
254.0,0.0022307000483889543,0.009134706151892548,0.17277568710743219,2.043749010241342E-5
266.0,0.0021086629156085927,0.008988946653344206,0.16908495258563677,1.896588100337286E-5
277.0,0.0019852550175836663,0.008850721879282002,0.16580711855643906,1.7283014487104886E-5
289.0,0.0019201980234811505,0.008693932395743374,0.16235490258990368,1.5670623735971395E-5
300.0,0.0017967280836837963,0.008545030407905614,0.15929660318590289,1.3931400370862355E-5
312.0,0.001718959497949064,0.00837717726951291,0.156093659362172,1.1960567498036769E-5
323.0,0.0017050563483687292,0.008219316327779688,0.15326166825903925,1.052640320347989E-5
335.0,0.0015627128556456372,0.00804328864095452,0.15030995748001955,9.178143149199072E-6
347.0,0.0014739319581942173,0.00786451905175991,0.14748235845632726,8.019389865318359E-6
358.0,0.001356099806969444,0.007699317233466227,0.14499384012378588,7.1509543659954985E-6
370.0,0.0013272422469442183,0.0075192468420426685,0.14234014942285242,6.348298481444356E-6
381.0,0.00130397880107549,0.007354626141522725,0.13998615650036358,5.700173145644414E-6
393.0,0.0012269364757029094,0.007177260312987149,0.1374849677892309,5.195539080245491E-6
404.0,0.0011392221852805854,0.007018977353890943,0.1352058377641612,4.707932266396097E-6
416.0,0.0011459706620599779,0.0068499826368852304,0.13279741946568077,4.3210090098622505E-6
427.0,0.0010471329029212869,0.006700139296583663,0.13063222091907198,4.05493434258726E-6
439.0,0.001010408360240398,0.00654112182867331,0.12833978093871945,3.7615907725633143E-6
450.0,9.968941020301913E-4,0.006400753546281361,0.12626592126410605,3.659225583022281E-6
462.0,9.273101350727714E-4,0.0062518908610605965,0.12406708940179885,3.512163598520672E-6
473.0,8.755006775138456E-4,0.006119054762213329,0.12211282614502399,3.4159703885719477E-6
485.0,8.867762614935096E-4,0.005978448202538349,0.12002787634987698,3.33196873026894E-6
497.0,7.820427764395213E-4,0.005841631433101167,0.11799661575768013,3.2758149731313283E-6
508.0,8.297798532744103E-4,0.005719572854677378,0.11617948024435304,3.239375132126697E-6
520.0,7.607095456649632E-4,0.005590266856717838,0.11423368613315267,3.248253926874063E-6
531.0,7.532644451164408E-4,0.005475058290899445,0.1124826321446376,3.233540477445799E-6
543.0,7.334124100173694E-4,0.005353076554367116,0.1105999358250173,3.259320021328503E-6
554.0,7.151295163242454E-4,0.005244519368890984,0.10890203215914973,3.289745811796545E-6
566.0,6.823129658242399E-4,0.0051294897229074415,0.1070800573189281,3.308367647525347E-6
577.0,6.481421932758664E-4,0.005027262245098573,0.10543379036937336,3.343903495440853E-6
589.0,6.375672895515818E-4,0.0049188982401956,0.10366776023079718,3.381609579809665E-6
600.0,6.289088081316652E-4,0.004822362650969964,0.1020782443298442,3.415684068882098E-6
612.0,5.871161121085385E-4,0.004720087652807586,0.10037294391028512,3.4421419154228064E-6
623.0,6.115993466554814E-4,0.00462889422690241,0.09883796217295807,3.4850886690516438E-6
635.0,5.486882672719536E-4,0.004532043442344089,0.09719576596861225,3.495876966845393E-6
646.0,5.771071169888406E-4,0.004445718679108979,0.0957140615688288,3.5896462200293686E-6
658.0,5.05769572503004E-4,0.004353928744779097,0.09412937065037301,3.61875290895602E-6
670.0,5.476351596911008E-4,0.004264526076789237,0.09257456389708439,3.6700004540369655E-6
681.0,4.803906794405038E-4,0.004184566701844264,0.09117684170587893,3.752524638885431E-6
693.0,4.993764833223766E-4,0.004099344571296099,0.08968287828384752,3.738180644914125E-6
704.0,5.163967675003808E-4,0.004022971042247392,0.08834193183740412,3.734097703451581E-6
716.0,4.496901488335346E-4,0.003941876783671625,0.08689589861197639,3.791722067557103E-6
727.0,4.746132459054015E-4,0.003868965340893434,0.08560645797459511,3.815874015235913E-6
