"Line Probe: Velocity[i] (m/s)","Line Probe: Centroid[Y] (m)"
-0.017177940239706212,0.5895522388059702
-0.024254568780078187,0.5845771144278606
-0.03129435306898074,0.5796019900497512
-0.03829315463347339,0.5746268656716418
-0.04524430375673422,0.5696517412935324
-0.052141382745366636,0.5646766169154229
-0.05897825327896756,0.5597014925373134
-0.06574906925076138,0.554726368159204
-0.07244826863871931,0.5497512437810945
-0.07907059849137793,0.5447761194029851
-0.08561117231240191,0.5398009950248757
-0.09206550668638214,0.5348258706467661
-0.09842958866571434,0.5298507462686567
-0.10469995477873523,0.5248756218905473
-0.11087375824765229,0.5199004975124378
-0.11694882560407634,0.5149253731343284
-0.12292382466134066,0.5099502487562189
-0.1287985273186125,0.5049751243781094
-0.13457343418693976,0.5
-0.1402501144094958,0.49502487562189057
-0.1458312711302814,0.49004975124378114
-0.15132079306263035,0.4850746268656716
-0.15672376655526113,0.48009950248756217
-0.1620465240424002,0.47512437810945274
-0.16729657299318204,0.4701492537313433
-0.17248260840899143,0.4651741293532339
-0.1776143879718205,0.46019900497512434
-0.18270263386811447,0.4552238805970149
-0.18775883070613866,0.4502487562189055
-0.1927950249029826,0.44527363184079605
-0.19782334718264472,0.4402985074626866
-0.20285587195262905,0.4353233830845771
-0.20790460896688454,0.43034825870646765
-0.2129806756117205,0.4253731343283582
-0.2180938349334265,0.4203980099502488
-0.22325204151629224,0.41542288557213936
-0.22846087365107107,0.4104477611940298
-0.23372307796306596,0.4054726368159204
-0.23903802371423163,0.40049751243781095
-0.24440107567378502,0.3955223880597015
-0.24980315406119075,0.3905472636815921
-0.25523030062958696,0.38557213930348255
-0.26066280458918173,0.3805970149253731
-0.26607581441302436,0.3756218905472637
-0.27143920298831936,0.37064676616915426
-0.27671766066548403,0.36567164179104483
-0.2818710483939,0.3606965174129353
-0.28685452857761257,0.35572139303482586
-0.29161921290077264,0.35074626865671643
-0.2961131883927924,0.345771144278607
-0.30028260611863566,0.34079601990049757
-0.30407285166546993,0.33582089552238803
-0.3074296509868162,0.3308457711442786
-0.3103006051946804,0.32587064676616917
-0.3126345159500655,0.32089552238805963
-0.31439859493462147,0.3159203980099502
-0.3155283052593028,0.31094527363184077
-0.3160004170992034,0.30597014925373134
-0.3157879122790675,0.3009950248756219
-0.3148703925100002,0.29601990049751237
-0.3132372246764242,0.29104477611940294
-0.31088480489671994,0.2860696517412935
-0.3078240302840437,0.2810945273631841
-0.30406621200645373,0.27611940298507465
-0.2996328061503144,0.2711442786069651
-0.29455354443773407,0.2661691542288557
-0.2888664501090518,0.26119402985074625
-0.28261444882000636,0.2562189054726368
-0.2758593069372457,0.2512437810945274
-0.26863815014041614,0.24626865671641784
-0.26101150743825663,0.24129353233830841
-0.25307544745736765,0.23631840796019898
-0.24482237814843538,0.23134328358208955
-0.23634692362089427,0.22636815920398012
-0.2276918922567694,0.22139303482587058
-0.21892013926650786,0.21641791044776115
-0.2100885776736544,0.21144278606965172
-0.20125669215967157,0.2064676616915423
-0.19246178363830743,0.20149253731343286
-0.18374860663309,0.19651741293532332
-0.17515786008143236,0.1915422885572139
-0.16672534798644648,0.18656716417910446
-0.15848234024337723,0.18159203980099503
-0.1504566997635044,0.1766169154228856
-0.1426736658894284,0.17164179104477606
-0.13515168236771108,0.16666666666666663
-0.12790573706612943,0.1616915422885572
-0.12094435751218208,0.15671641791044777
-0.11427424952662489,0.15174129353233834
-0.10789944096719867,0.1467661691542288
-0.10182099181188116,0.14179104477611937
-0.0960370051985352,0.13681592039800994
-0.09054272224994112,0.1318407960199005
-0.08533056995119412,0.12686567164179108
-0.08039072881719947,0.12189054726368154
-0.07571151135312892,0.1169154228855721
-0.07127966980417344,0.11194029850746268
-0.06708061382808118,0.10696517412935325
-0.06309864181070177,0.10199004975124382
-0.05931713924581038,0.09701492537313428
-0.055718800107216346,0.09203980099502485
-0.0522857669225224,0.08706467661691542
-0.04899983070490927,0.08208955223880599
-0.04584258481565979,0.07711442786069655
-0.04279554131746077,0.07213930348258701
-0.03984025353697389,0.06716417910447758
-0.03695839489441239,0.062189054726368154
-0.03413180447561544,0.057213930348258724
-0.03134262602392611,0.052238805970149294
-0.028573306440111076,0.04726368159203975
-0.025806455583176888,0.04228855721393032
-0.0230250605280224,0.03731343283582089
-0.020212288746313745,0.03233830845771146
-0.01735150670281006,0.027363184079602032
-0.01442619482880653,0.02238805970149249
-0.01141985386684456,0.01741293532338306
-0.008315948945012499,0.01243781094527363
-0.005097663171867371,0.007462686567164201
-0.0017482713538247425,0.002487562189054766
0.2548287297682329,0.9179104477611939
0.25229634133286705,0.9129353233830846
0.25091412007405944,0.9079601990049753
0.250356109324984,0.9029850746268657
0.2503714352105008,0.8980099502487562
0.2507687740081545,0.8930348258706466
0.25140338486783975,0.8880597014925373
0.2521670206139905,0.883084577114428
0.252971696098213,0.8781094527363185
0.2537636201984175,0.8731343283582089
0.25448319273518666,0.8681592039800994
0.2550974038709213,0.8631840796019901
0.255570413457705,0.8582089552238807
0.2558750217713399,0.8532338308457712
0.2559877384197211,0.8482587064676617
0.2558870798046847,0.8432835820895521
0.25555404687575345,0.8383084577114428
0.254971770227891,0.8333333333333335
0.2541254483175658,0.8283582089552239
0.25300227398107644,0.8233830845771144
0.2515914919109121,0.8184079601990049
0.2498842036404418,0.8134328358208955
0.24787915218839313,0.8084577114427862
0.95483493673285,0.9975124378109452
0.8628921663839472,0.9925373134328357
0.7729453590818147,0.9875621890547264
0.6879440527320717,0.982587064676617
0.6100357508092286,0.9776119402985075
