"Line Probe: Velocity[i] (m/s)","Line Probe: Centroid[Y] (m)"
0.07706037465122892,0.6386138613861385
0.06670677942060678,0.6287128712871287
0.05644619598649889,0.6188118811881189
0.046270167720895664,0.608910891089109
0.03617143699454065,0.5990099009900991
0.026147238241963296,0.5891089108910892
0.01618888161536933,0.5792079207920793
0.006287831672690257,0.5693069306930694
-0.00356436600333045,0.5594059405940595
-0.013370182455081508,0.5495049504950495
-0.023129234319215045,0.5396039603960396
-0.03284332617041948,0.5297029702970297
-0.04251941837557934,0.5198019801980198
-0.05216298410146587,0.5099009900990099
-0.0617759439820884,0.5
-0.07135977775761972,0.4900990099009901
-0.08091562475039697,0.4801980198019802
-0.0904442434736798,0.47029702970297027
-0.0999460301942646,0.46039603960396036
-0.10942112312190001,0.45049504950495045
-0.11886961935932694,0.44059405940594054
-0.12829192728430572,0.43069306930693063
-0.1376892743285492,0.4207920792079207
-0.14706438695461183,0.4108910891089108
-0.156422354029452,0.4009900990099009
-0.16577157777391438,0.391089108910891
-0.17512495654213778,0.3811881188118812
-0.18450113745349217,0.3712871287128714
-0.1939256235038717,0.3613861386138615
-0.20343171338402963,0.3514851485148516
-0.21306093804282475,0.34158415841584167
-0.22286320394940135,0.33168316831683176
-0.232893183640642,0.32178217821782185
-0.2432095385177736,0.31188118811881194
-0.2538679757384519,0.301980198019802
-0.26491384259312833,0.2920792079207921
-0.2763716369235247,0.2821782178217822
-0.2882323172006628,0.2722772277227723
-0.30043870142168466,0.2623762376237624
-0.31286993490170323,0.2524752475247525
-0.3253251714415779,0.24257425742574257
-0.33751316006790755,0.23267326732673266
-0.34905404353468766,0.22277227722772275
-0.35949188318599334,0.21287128712871284
-0.3683166589802068,0.20297029702970293
-0.3749960598759321,0.19306930693069302
-0.37904196850469196,0.1831683168316831
-0.3801156049746386,0.1732673267326732
-0.37798905376412634,0.1633663366336633
-0.37249048343279423,0.15346534653465338
-0.36340618764190774,0.14356435643564347
-0.3508159420354137,0.13366336633663356
-0.33499087231528196,0.12376237623762376
-0.3163438157152329,0.11386138613861396
-0.2953886361564427,0.10396039603960405
-0.27268540287810394,0.09405940594059414
-0.2487684125343073,0.08415841584158423
-0.2240614447118698,0.07425742574257432
-0.19879267000062759,0.06435643564356441
-0.1729353584863637,0.054455445544554504
-0.1461888384367514,0.044554455445544594
-0.11804998053609482,0.034653465346534684
-0.0879311524009899,0.024752475247524774
-0.05524765212299557,0.014851485148514865
-0.019554646095743356,0.004950495049504955
0.9241766874405596,0.9950495049504952
0.7707472961372002,0.9851485148514854
0.6398110882393638,0.9752475247524754
0.5421789099381678,0.9653465346534655
0.47677532602352424,0.9554455445544556
0.43638182923833374,0.9455445544554457
0.4125670514650761,0.9356435643564358
0.3983018083600605,0.9257425742574259
0.388711691786164,0.915841584158416
0.38084360219304764,0.9059405940594061
0.3731785558023485,0.8960396039603962
0.36497246130052113,0.8861386138613863
0.35595571140336274,0.8762376237623763
0.346095386893093,0.8663366336633664
0.3354681563797324,0.8564356435643565
0.3241927808359513,0.8465346534653466
0.31239884000144214,0.8366336633663367
0.30021288659218165,0.8267326732673268
0.2877529820766163,0.8168316831683169
0.27512529239361205,0.806930693069307
0.2624214990222004,0.7970297029702971
0.24972091144681843,0.7871287128712872
0.23708483798555732,0.7772277227722773
0.2245601399158537,0.7673267326732673
0.2121809229704781,0.7574257425742574
0.199970206282424,0.7475247524752475
0.18794167729211556,0.7376237623762376
0.17610141891691133,0.7277227722772277
0.16444955241868855,0.7178217821782178
0.15298171970278285,0.7079207920792079
0.141690392431417,0.698019801980198
0.13056595577244812,0.6881188118811881
0.11959760052445612,0.6782178217821782
0.10877400495090093,0.6683168316831682
0.09808383410621761,0.6584158415841583
0.08751603867552202,0.6485148514851484
